"Group","Nuisance","Value"
1,0.939806195790879,1.27714623879415
0,0.556676496926229,-3.64991178689361
0,0.568423238990363,0.997335112482314
1,1.08522764750523,2.03423534049745
0,0.749978344480041,0.616688710331262
0,0.878328934020828,0.865223465724937
1,0.646516274136957,2.26180399522649
1,0.831179082335439,0.858405262791857
0,1.13366932561621,-0.441181385602732
1,0.7603206820786,-1.05653046092629
1,0.657786576077342,-0.691737855454919
0,0.361667708144523,-0.538312428730373
1,0.882200741500128,-1.42214783065035
1,0.980589455750305,0.841665552812191
1,1.24004417925607,-1.81001026963488
0,0.597832940693479,2.00091005315237
1,1.03611373866443,-0.421370361835526
1,0.918226776702795,-1.6682256312624
0,0.807252613012679,2.97784058371287
1,0.765470106736757,1.30654362351226
1,0.76698161236709,1.12959402563991
1,1.05263758735964,1.18247955805798
0,0.299923367681913,0.567301975768213
1,0.793583243095782,-0.842248784113951
0,0.839761359267868,-1.07577489904521
1,1.36225276876939,-0.00313153214516637
0,0.631903308152687,-1.1586314719308
1,1.03893743245862,1.26534688686431
0,0.482385799696203,-0.595047061343394
0,0.308147134026513,0.889433181328215
0,0.87899280973943,2.62750027829022
1,0.29370251315413,-0.653235720022996
1,1.0077829422662,-1.92041995482256
1,0.625956896867137,0.993486717442256
0,0.64684574160492,0.883361670710881
0,1.19059526198544,2.85543795280676
1,0.937057664443273,3.81034020599298
1,0.986674755869899,0.192529666174417
0,0.360278500418644,-2.40883788264458
1,1.10099228069885,0.596094781313813
1,0.588479868136346,-0.595349628873961
0,0.541801168466918,4.77107811558638
1,0.812261672399472,1.13928462071179
0,0.520141479035374,-0.50652316033543
0,0.554774259973783,1.18810579039551
0,0.342317351780366,-0.0396796394627618
1,1.37894289713586,4.51780077420106
1,0.898306515184231,-1.11228426200263
1,1.00679893704364,2.6401248560706
0,1.09439039358404,-0.617420677006853
1,0.594056975911371,1.14912926833642
1,0.374541436030995,-0.0813449136310734
1,0.463076790212654,-0.545811170546932
0,0.410349778016098,-0.539132987131556
1,0.483425497601274,-1.12395227873305
0,0.185826239932794,2.11247402157835
0,0.233156536181923,3.64628658123776
0,0.984503223735373,0.413026467879943
0,0.444625835458282,-2.99181155232902
1,1.0972734563984,1.72118253185621
0,0.692697066057008,0.938383195714115
1,0.865142611961346,-1.49189076027099
0,0.528850039467216,1.15703920639989
0,1.12618569232291,2.27731956714645
0,1.32151656376664,-2.39055400226591
0,0.722706725529861,0.104355364924125
1,1.04612149775494,-1.77047824049836
0,0.632625458878465,1.06995611922776
1,0.526899552263785,1.49394683217795
0,0.595537399000023,5.26630011404485
0,0.683426255767699,0.698448669611851
1,0.895229739602655,3.03263475515861
0,1.16319043887779,2.02926872837767
1,0.957947889226489,0.651567029207457
0,0.662379505753051,1.72270419904196
1,1.1770031711203,2.55445756141411
1,0.293366518802941,0.390002541242699
1,0.92515741934767,2.47188333815817
0,0.619108266604599,0.928788964979021
0,0.514815989357885,0.294955655614216
0,0.173419849248603,1.96781581652039
0,0.968860899971332,-0.622525743938901
0,0.35929204209242,-0.671764619680556
1,1.33249606849859,3.32623222615985
1,1.35872646822827,3.6050215287892
0,0.47089581558248,0.214099703538942
0,1.08371898002224,-1.10576495962612
1,1.00419937743573,-3.72783937441553
0,0.750423567078542,-0.103050836790508
1,1.43901863868814,0.0386193079601349
1,0.19660643156385,1.00077539556572
1,0.875464335316792,0.145612185584855
0,0.668862543068826,3.10401264639601
0,1.126365381293,0.639391641049509
1,1.16854663775302,1.18495189056304
1,0.753465996764135,0.368196051032729
1,0.81414941319963,-1.11842707693694
1,0.653026726387907,0.804183326648231
1,1.35444266209379,2.75715840074681
0,1.01133829081664,-1.08120154991582
1,0.871994991030078,-1.13143238703568
0,0.198590452666394,-0.189975510800183
1,0.560058776638471,-1.9675674551553
0,0.295109676138964,0.488531057401281
1,0.844985797943082,-0.174123140637148
0,0.289202930114698,0.885263381554924
1,1.43509233696386,0.229871178449358
1,0.889928561286069,0.442345550692307
0,0.340723267116118,0.659694164849787
0,0.478851671505254,0.803858468192129
1,0.858947986154817,-3.39981093612829
0,0.700580494303722,-2.05424570221024
1,0.487890003423672,-1.28593257915352
1,0.586208228138275,0.401503846447359
1,0.449776374734938,1.38787772213901
1,0.946191287599504,4.38758487968414
0,0.842345912649762,0.539609304301092
1,1.41204072372057,3.77909710938471
1,0.92314082669327,-1.27600753329148
0,0.905817045306321,2.61953797851847
